step_order,step,usd_1790,usd_2025,usd_1790_m,usd_2025_m
1,Hamilton estimate (9 states),21501205.61,780493763.6429999,21.50120561,780.4937636429999
2,Quotas for 4 states with no return,3100000.0,112529999.99999999,3.1,112.52999999999999
3,"Congress cuts (MA, SC, CT, VA)",-3144949.6999999997,-114161674.10999998,-3.1449496999999997,-114.16167410999998
4,"Rounding up (NY, NJ)",43744.08999999997,1587910.4669999988,0.043744089999999965,1.5879104669999988
5,Unused quota,-3228213.5300000003,-117184151.139,-3.22821353,-117.184151139
